N,S,Comparisons,Time
5000,29,67043,0.000258
5000,30,67043,0.000259667
5000,31,67043,0.000267333
5000,32,67043,0.000256667
5000,33,67043,0.000291333
5000,34,67043,0.000295
5000,35,67043,0.000271333
5000,36,67043,0.000266333
5000,37,67043,0.00027
5000,38,67043,0.000289333
5000,39,85547,0.000284667
5000,40,86893,0.000312333
5000,41,86893,0.000284
5000,42,86893,0.000260667
5000,43,86893,0.000281
5000,44,86893,0.000284667
5000,45,86893,0.000260333
5000,46,86893,0.000291333
5000,47,86893,0.000286333
5000,48,86893,0.000272333
5000,49,86893,0.000263333
5000,50,86893,0.000261667
5000,51,86893,0.000285667
5000,52,86893,0.000293333
5000,53,86893,0.000305667
5000,54,86893,0.000259667
5000,55,86893,0.000269333
5000,56,86893,0.000264
5000,57,86893,0.000347333
5000,58,86893,0.000267667
5000,59,86893,0.000264
5000,60,86893,0.000296333
5000,61,86893,0.000300333
5000,62,86893,0.000292667
5000,63,86893,0.000289333
5000,64,86893,0.000290333
5000,65,86893,0.000281667
5000,66,86893,0.000292
5000,67,86893,0.000295333
5000,68,86893,0.000300333
5000,69,86893,0.000310667
5000,70,86893,0.000352667
5000,71,86893,0.000327333
5000,72,86893,0.000293333
5000,73,86893,0.000318
5000,74,86893,0.000364333
5000,75,86893,0.000317
5000,76,86893,0.000258333
5000,77,86893,0.000334
5000,78,124941,0.000275
5000,79,131099,0.000355
5000,80,131099,0.000301667
5000,81,131099,0.000318667
5000,82,131099,0.000285667
5000,83,131099,0.000303667
5000,84,131099,0.000330667
5000,85,131099,0.000353333
5000,86,131099,0.000382333
5000,87,131099,0.000305
5000,88,131099,0.000331667
5000,89,131099,0.000270333
5000,90,131099,0.000319333
5000,91,131099,0.000278333
5000,92,131099,0.000300333
5000,93,131099,0.000336333
5000,94,131099,0.000331
5000,95,131099,0.000309
5000,96,131099,0.000353
5000,97,131099,0.000309333
5000,98,131099,0.000352
5000,99,131099,0.000316
5000,100,131099,0.000318
5000,101,131099,0.000308667
5000,102,131099,0.000313
5000,103,131099,0.000315
5000,104,131099,0.000348
5000,105,131099,0.000268333
5000,106,131099,0.000331667
5000,107,131099,0.000301333
5000,108,131099,0.000323
5000,109,131099,0.000305
5000,110,131099,0.000286333
5000,111,131099,0.000320333
5000,112,131099,0.000282667
5000,113,131099,0.000341667
5000,114,131099,0.000313333
5000,115,131099,0.000293667
5000,116,131099,0.000308667
5000,117,131099,0.000312
5000,118,131099,0.000294
5000,119,131099,0.000331
5000,120,131099,0.000306333
5000,121,131099,0.000261667
5000,122,131099,0.000307
5000,123,131099,0.000317667
5000,124,131099,0.000264667
5000,125,131099,0.000277667
5000,126,131099,0.000269
5000,127,131099,0.000263333
5000,128,131099,0.000298333
10000,1,120330,0.001048333
10000,2,120330,0.000891
10000,3,120363,0.000829333
10000,4,120393,0.000830333
10000,5,121445,0.000755
10000,6,121445,0.000752
10000,7,121445,0.000743
10000,8,121445,0.000758333
10000,9,122491,0.000755333
10000,10,127082,0.000694
10000,11,127082,0.000681667
10000,12,127082,0.000664333
10000,13,127082,0.000671
10000,14,127082,0.000695
10000,15,127082,0.000685
10000,16,127082,0.000673
10000,17,127082,0.000679
10000,18,127082,0.000712667
10000,19,134363,0.000664
10000,20,143109,0.000649333
10000,21,143109,0.000650667
10000,22,143109,0.000624
10000,23,143109,0.000621
10000,24,143109,0.000658
10000,25,143109,0.000641333
10000,26,143109,0.000631
10000,27,143109,0.000639
10000,28,143109,0.000652333
10000,29,143109,0.000627333
10000,30,143109,0.000621
10000,31,143109,0.000615667
10000,32,143109,0.000714
10000,33,143109,0.000713667
10000,34,143109,0.000847667
10000,35,143109,0.000713667
10000,36,143109,0.000718
10000,37,143109,0.000715
10000,38,143109,0.000731667
10000,39,180155,0.000692667
10000,40,182695,0.000685667
10000,41,182695,0.000683667
10000,42,182695,0.000729
10000,43,182695,0.000697333
10000,44,182695,0.000714
10000,45,182695,0.0007
10000,46,182695,0.000720333
10000,47,182695,0.000738667
10000,48,182695,0.0007
10000,49,182695,0.000708
10000,50,182695,0.000778333
10000,51,182695,0.000712333
10000,52,182695,0.000714333
10000,53,182695,0.000703
10000,54,182695,0.000713333
10000,55,182695,0.000758333
10000,56,182695,0.000715
10000,57,182695,0.000709333
10000,58,182695,0.000774
10000,59,182695,0.000714
10000,60,182695,0.000714667
10000,61,182695,0.000703667
10000,62,182695,0.000724
10000,63,182695,0.000723333
10000,64,182695,0.000710333
10000,65,182695,0.000687667
10000,66,182695,0.000697667
10000,67,182695,0.000688333
10000,68,182695,0.000703333
10000,69,182695,0.000692333
10000,70,182695,0.000695333
10000,71,182695,0.000697667
10000,72,182695,0.000695
10000,73,182695,0.000696
10000,74,182695,0.000694333
10000,75,182695,0.000694
10000,76,182695,0.000683667
10000,77,182695,0.000685
10000,78,261819,0.000694333
10000,79,273259,0.000726667
10000,80,273259,0.000704333
10000,81,273259,0.000703
10000,82,273259,0.000699333
10000,83,273259,0.000723667
10000,84,273259,0.000724
10000,85,273259,0.000706333
10000,86,273259,0.000714
10000,87,273259,0.000705333
10000,88,273259,0.000706333
10000,89,273259,0.000721333
10000,90,273259,0.000725667
10000,91,273259,0.00071
10000,92,273259,0.000716
10000,93,273259,0.000725667
10000,94,273259,0.00069
10000,95,273259,0.000705667
10000,96,273259,0.000724333
10000,97,273259,0.000722667
10000,98,273259,0.000723333
10000,99,273259,0.000715333
10000,100,273259,0.000722667
10000,101,273259,0.00072
10000,102,273259,0.00071
10000,103,273259,0.000705
10000,104,273259,0.000709
10000,105,273259,0.000705
10000,106,273259,0.000709
10000,107,273259,0.000705667
10000,108,273259,0.000706
10000,109,273259,0.000706
10000,110,273259,0.000702
10000,111,273259,0.000708
10000,112,273259,0.000707667
10000,113,273259,0.000698
10000,114,273259,0.000701333
10000,115,273259,0.000723667
